 'ARTIST',  'TITLE',  'URL',  'LIKES',  'DISLIKES',  'VIEWS',  'USED?',  'LIKES  to  TOTAL  RATIO',  'LIKES  to  DISLIKES  RATIO',  'LIKES  to  VIEWS  RATIO' 
 Simon  J  ,  Way  Down  Here,35fedh1h3x8,384,5,42693,False,0.987146529562982,76.8,0.008994448738669102 
 Skater  &  J.Robb  ,  Girls,Uo4aC0Zmh-I,129,2,12081,False,0.9847328244274809,64.5,0.010677924012912838 
 Spooky  Black  ,  Welcome  To  The  Hell  Zone  (The  Kount  X  Brock  Re  Edit),j9KYUH9xKt0,1317,18,96984,False,0.9865168539325843,73.16666666666667,0.01357955951497154 
 The  Cancel  ,  My  Soul,NOYFJy-OGUg,631,7,51706,False,0.9890282131661442,90.14285714285714,0.012203612733531892 
 The  Deli  ,  Day  In  The  Life,lE7TPaU6Rt0,2096,21,115601,False,0.9900803023145961,99.80952380952381,0.018131331043849102 
 The  Notorious  B.I.G.  ,  Big  Poppa  (Phoniks  Remix  Instrumental),NPCurfJZOGU,619,7,82007,False,0.9888178913738019,88.42857142857143,0.007548136134720207 
 Tom  Misch  ,  Climbing,urZPX2Hk6pg,2123,23,165763,False,0.98928238583411,92.30434782608695,0.012807441950254279 
 Tom  Misch  ,  Dilla  Love,xV5UXNvrLEc,378,9,40341,False,0.9767441860465116,42.0,0.009370119729307652 
 Tom  Misch  ,  Dusty  Memories,jK9oaJV-aFk,376,5,30343,False,0.9868766404199475,75.2,0.012391655406518801 
 Tom  Misch  ,  In  A  Special  Way,PSo0MNG2SFE,532,1,46124,False,0.99812382739212,532.0,0.011534125401092707 
 Tom  Misch  ,  Never  Moved,a1SkwfCcJZM,978,25,96074,False,0.9750747756729811,39.12,0.010179653184003996 
 Tom  Misch  ,  Wonder,Y5aB-Cn5_UI,478,4,42535,False,0.991701244813278,119.5,0.011237804161278947 
 Tonybtm  ,  Amore,gg4SbqkD0oM,151,3,17601,False,0.9805194805194806,50.333333333333336,0.008579058008067724 
 Trinix  ,  I  Dont  Care,Z1jLTPd-gOU,297,13,33015,False,0.9580645161290322,22.846153846153847,0.008995910949568378 
 Vanilla  ,  This  Time,MYE4obPZYhc,118,1,14484,False,0.9915966386554622,118.0,0.008146920740127036 
 Weird  Inside  ,  Nothing,CE_L4nkHj_Y,184,2,17279,False,0.989247311827957,92.0,0.010648764396087737 
 [Kpop  In  Public]  Seventeen(세븐틴)  ,  Oh  My!(어쩌나)  Full  Dance  Cover  At  Sf  Pier  39  [Eclipse],vwaoC5mPDzc,13130,115,136591,False,0.9913174782936958,114.17391304347827,0.09612639192919006 
 _  _  M  Z  _  _  _  ,  Heading  Out  Weast,Wmm8pMj7foQ,297,4,29683,False,0.9867109634551495,74.25,0.010005727183909982 
